,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,dot_size,,,,,
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009,1.625710799,,,,,
117,Adelie,Torgersen,38.6,17,188,2900,female,2009,1.029347163,,,,,
118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009,0.840256254,,,,,
119,Adelie,Torgersen,35.7,17,189,3350,female,2009,0.607528981,,,,,
120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009,1.392983527,,,,,
121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009,0.680256254,,,,,
122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009,0.898438072,,,,,
123,Adelie,Torgersen,40.2,17,176,3450,female,2009,1.262074436,,,,,
124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009,1.43661989,,,,,
125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009,0.534801708,,,,,
126,Adelie,Torgersen,40.6,19,199,4000,male,2009,1.320256254,,,,,
127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009,1.058438072,,,,,
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009,1.451165345,,,,,
129,Adelie,Torgersen,39,17.1,191,3050,female,2009,1.087528981,,,,,
130,Adelie,Torgersen,44.1,18,210,4000,male,2009,1.829347163,,,,,
131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009,1.014801708,,,,,
132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009,1.683892617,,,,,
133,Adelie,Dream,36.8,18.5,193,3500,female,2009,0.767528981,,,,,
134,Adelie,Dream,37.5,18.5,199,4475,male,2009,0.869347163,,,,,
135,Adelie,Dream,38.1,17.6,187,3425,female,2009,0.95661989,,,,,
136,Adelie,Dream,41.1,17.5,190,3900,male,2009,1.392983527,,,,,
137,Adelie,Dream,35.6,17.5,191,3175,female,2009,0.592983527,,,,,
138,Adelie,Dream,40.2,20.1,200,3975,male,2009,1.262074436,,,,,
139,Adelie,Dream,37,16.5,185,3400,female,2009,0.79661989,,,,,
140,Adelie,Dream,39.7,17.9,193,4250,male,2009,1.189347163,,,,,
141,Adelie,Dream,40.2,17.1,193,3400,female,2009,1.262074436,,,,,
142,Adelie,Dream,40.6,17.2,187,3475,male,2009,1.320256254,,,,,
143,Adelie,Dream,32.1,15.5,188,3050,female,2009,0.083892617,,,,,
144,Adelie,Dream,40.7,17,190,3725,male,2009,1.334801708,,,,,
145,Adelie,Dream,37.3,16.8,192,3000,female,2009,0.840256254,,,,,
146,Adelie,Dream,39,18.7,185,3650,male,2009,1.087528981,,,,,
147,Adelie,Dream,39.2,18.6,190,4250,male,2009,1.11661989,,,,,
148,Adelie,Dream,36.6,18.4,184,3475,female,2009,0.738438072,,,,,
149,Adelie,Dream,36,17.8,195,3450,female,2009,0.651165345,,,,,
150,Adelie,Dream,37.8,18.1,193,3750,male,2009,0.912983527,,,,,
151,Adelie,Dream,36,17.1,187,3700,female,2009,0.651165345,,,,,
152,Adelie,Dream,41.5,18.5,201,4000,male,2009,1.451165345,,,,,
153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007,2.120256254,,,,,
154,Gentoo,Biscoe,50,16.3,230,5700,male,2007,2.687528981,,,,,
155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007,2.498438072,,,,,
156,Gentoo,Biscoe,50,15.2,218,5700,male,2007,2.687528981,,,,,
157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007,2.338438072,,,,,
158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007,2.178438072,,,,,
159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007,2.018438072,,,,,
160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007,2.207528981,,,,,
161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007,1.712983527,,,,,
162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007,2.222074436,,,,,
163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007,1.363892617,,,,,
164,Gentoo,Biscoe,49,16.1,216,5550,male,2007,2.542074436,,,,,
165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007,2.032983527,,,,,
166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007,2.454801708,,,,,
167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007,2.07661989,,,,,
168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007,2.585710799,,,,,
169,Gentoo,Biscoe,42,13.5,210,4150,female,2007,1.523892617,,,,,
170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007,2.571165345,,,,,
171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007,2.134801708,,,,,
172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007,2.498438072,,,,,
173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007,2.71661989,,,,,
174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007,1.974801708,,,,,
175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007,2.178438072,,,,,
176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007,2.149347163,,,,,
177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007,1.654801708,,,,,
178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007,2.120256254,,,,,
179,Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007,1.887528981,,,,,
180,Gentoo,Biscoe,47.8,15,215,5650,male,2007,2.367528981,,,,,
181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007,2.425710799,,,,,
182,Gentoo,Biscoe,50,15.3,220,5550,male,2007,2.687528981,,,,,
183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007,2.294801708,,,,,
184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007,1.640256254,,,,,
185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007,1.974801708,,,,,
186,Gentoo,Biscoe,59.6,17,230,6050,male,2007,4.083892617,,,,,
187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008,2.55661989,,,,,
188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008,2.454801708,,,,,
189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008,1.611165345,,,,,
190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008,1.872983527,,,,,
191,Gentoo,Biscoe,44,13.6,208,4350,female,2008,1.814801708,,,,,
192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008,2.498438072,,,,,
193,Gentoo,Biscoe,42.7,13.7,208,3950,female,2008,1.625710799,,,,,
194,Gentoo,Biscoe,49.6,16,225,5700,male,2008,2.629347163,,,,,
195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008,2.003892617,,,,,
196,Gentoo,Biscoe,49.6,15,216,4750,male,2008,2.629347163,,,,,
197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008,2.760256254,,,,,
198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008,1.75661989,,,,,
199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008,2.032983527,,,,,
200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008,2.760256254,,,,,
201,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008,1.945710799,,,,,
202,Gentoo,Biscoe,45.2,15.8,215,5300,male,2008,1.989347163,,,,,
203,Gentoo,Biscoe,46.6,14.2,210,4850,female,2008,2.192983527,,,,,
204,Gentoo,Biscoe,48.5,14.1,220,5300,male,2008,2.469347163,,,,,
205,Gentoo,Biscoe,45.1,14.4,210,4400,female,2008,1.974801708,,,,,
206,Gentoo,Biscoe,50.1,15,225,5000,male,2008,2.702074436,,,,,
207,Gentoo,Biscoe,46.5,14.4,217,4900,female,2008,2.178438072,,,,,
208,Gentoo,Biscoe,45,15.4,220,5050,male,2008,1.960256254,,,,,
209,Gentoo,Biscoe,43.8,13.9,208,4300,female,2008,1.785710799,,,,,
210,Gentoo,Biscoe,45.5,15,220,5000,male,2008,2.032983527,,,,,
211,Gentoo,Biscoe,43.2,14.5,208,4450,female,2008,1.698438072,,,,,
212,Gentoo,Biscoe,50.4,15.3,224,5550,male,2008,2.745710799,,,,,
213,Gentoo,Biscoe,45.3,13.8,208,4200,female,2008,2.003892617,,,,,
214,Gentoo,Biscoe,46.2,14.9,221,5300,male,2008,2.134801708,,,,,
215,Gentoo,Biscoe,45.7,13.9,214,4400,female,2008,2.062074436,,,,,
216,Gentoo,Biscoe,54.3,15.7,231,5650,male,2008,3.312983527,,,,,
217,Gentoo,Biscoe,45.8,14.2,219,4700,female,2008,2.07661989,,,,,
218,Gentoo,Biscoe,49.8,16.8,230,5700,male,2008,2.658438072,,,,,
219,Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008,2.134801708,,,,,
220,Gentoo,Biscoe,49.5,16.2,229,5800,male,2008,2.614801708,,,,,
221,Gentoo,Biscoe,43.5,14.2,220,4700,female,2008,1.742074436,,,,,
222,Gentoo,Biscoe,50.7,15,223,5550,male,2008,2.789347163,,,,,
223,Gentoo,Biscoe,47.7,15,216,4750,female,2008,2.352983527,,,,,
224,Gentoo,Biscoe,46.4,15.6,221,5000,male,2008,2.163892617,,,,,
225,Gentoo,Biscoe,48.2,15.6,221,5100,male,2008,2.425710799,,,,,
226,Gentoo,Biscoe,46.5,14.8,217,5200,female,2008,2.178438072,,,,,
227,Gentoo,Biscoe,46.4,15,216,4700,female,2008,2.163892617,,,,,
228,Gentoo,Biscoe,48.6,16,230,5800,male,2008,2.483892617,,,,,
229,Gentoo,Biscoe,47.5,14.2,209,4600,female,2008,2.323892617,,,,,
230,Gentoo,Biscoe,51.1,16.3,220,6000,male,2008,2.847528981,,,,,
231,Gentoo,Biscoe,45.2,13.8,215,4750,female,2008,1.989347163,,,,,
232,Gentoo,Biscoe,45.2,16.4,223,5950,male,2008,1.989347163,,,,,
233,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009,2.55661989,,,,,
234,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009,3.051165345,,,,,
235,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009,2.309347163,,,,,
236,Gentoo,Biscoe,50,15.9,224,5350,male,2009,2.687528981,,,,,
237,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009,1.945710799,,,,,
238,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009,2.803892617,,,,,
239,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009,1.727528981,,,,,
240,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009,2.87661989,,,,,
241,Gentoo,Biscoe,47.5,14,212,4875,female,2009,2.323892617,,,,,
242,Gentoo,Biscoe,52.1,17,230,5550,male,2009,2.992983527,,,,,
243,Gentoo,Biscoe,47.5,15,218,4950,female,2009,2.323892617,,,,,
244,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009,3.007528981,,,,,
245,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009,2.032983527,,,,,
246,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009,2.614801708,,,,,
247,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009,1.887528981,,,,,
248,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009,2.803892617,,,,,
249,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009,2.600256254,,,,,
250,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009,2.23661989,,,,,
251,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009,2.454801708,,,,,
252,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009,2.847528981,,,,,
253,Gentoo,Biscoe,48.5,15,219,4850,female,2009,2.469347163,,,,,
254,Gentoo,Biscoe,55.9,17,228,5600,male,2009,3.545710799,,,,,
255,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009,2.280256254,,,,,
256,Gentoo,Biscoe,49.1,15,228,5500,male,2009,2.55661989,,,,,
257,Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009,2.294801708,,,,,
258,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009,2.222074436,,,,,
259,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009,1.480256254,,,,,
260,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009,3.182074436,,,,,
261,Gentoo,Biscoe,43.3,14,208,4575,female,2009,1.712983527,,,,,
262,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009,2.411165345,,,,,
263,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009,2.760256254,,,,,
264,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009,2.658438072,,,,,
265,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009,1.742074436,,,,,
266,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009,2.905710799,,,,,
267,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009,2.134801708,,,,,
268,Gentoo,Biscoe,55.1,16,230,5850,male,2009,3.429347163,,,,,
269,Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009,1.887528981,,,,,
270,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009,2.512983527,,,,,
271,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009,2.280256254,,,,,
272,Gentoo,Biscoe,NA,NA,NA,NA,NA,2009,#VALUE!,,,,,
273,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009,2.222074436,,,,,
274,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009,2.745710799,,,,,
275,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009,1.989347163,,,,,
276,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009,2.672983527,,,,,
277,Chinstrap,Dream,46.5,17.9,192,3500,female,2007,2.178438072,,,,,
278,Chinstrap,Dream,50,19.5,196,3900,male,2007,2.687528981,,,,,
279,Chinstrap,Dream,51.3,19.2,193,3650,male,2007,2.87661989,,,,,
280,Chinstrap,Dream,45.4,18.7,188,3525,female,2007,2.018438072,,,,,
281,Chinstrap,Dream,52.7,19.8,197,3725,male,2007,3.080256254,,,,,
282,Chinstrap,Dream,45.2,17.8,198,3950,female,2007,1.989347163,,,,,
283,Chinstrap,Dream,46.1,18.2,178,3250,female,2007,2.120256254,,,,,
284,Chinstrap,Dream,51.3,18.2,197,3750,male,2007,2.87661989,,,,,
285,Chinstrap,Dream,46,18.9,195,4150,female,2007,2.105710799,,,,,
286,Chinstrap,Dream,51.3,19.9,198,3700,male,2007,2.87661989,,,,,
287,Chinstrap,Dream,46.6,17.8,193,3800,female,2007,2.192983527,,,,,
288,Chinstrap,Dream,51.7,20.3,194,3775,male,2007,2.934801708,,,,,
289,Chinstrap,Dream,47,17.3,185,3700,female,2007,2.251165345,,,,,
290,Chinstrap,Dream,52,18.1,201,4050,male,2007,2.978438072,,,,,
291,Chinstrap,Dream,45.9,17.1,190,3575,female,2007,2.091165345,,,,,
292,Chinstrap,Dream,50.5,19.6,201,4050,male,2007,2.760256254,,,,,
293,Chinstrap,Dream,50.3,20,197,3300,male,2007,2.731165345,,,,,
294,Chinstrap,Dream,58,17.8,181,3700,female,2007,3.851165345,,,,,
295,Chinstrap,Dream,46.4,18.6,190,3450,female,2007,2.163892617,,,,,
296,Chinstrap,Dream,49.2,18.2,195,4400,male,2007,2.571165345,,,,,
297,Chinstrap,Dream,42.4,17.3,181,3600,female,2007,1.582074436,,,,,
298,Chinstrap,Dream,48.5,17.5,191,3400,male,2007,2.469347163,,,,,
299,Chinstrap,Dream,43.2,16.6,187,2900,female,2007,1.698438072,,,,,
300,Chinstrap,Dream,50.6,19.4,193,3800,male,2007,2.774801708,,,,,
301,Chinstrap,Dream,46.7,17.9,195,3300,female,2007,2.207528981,,,,,
302,Chinstrap,Dream,52,19,197,4150,male,2007,2.978438072,,,,,
303,Chinstrap,Dream,50.5,18.4,200,3400,female,2008,2.760256254,,,,,
304,Chinstrap,Dream,49.5,19,200,3800,male,2008,2.614801708,,,,,
305,Chinstrap,Dream,46.4,17.8,191,3700,female,2008,2.163892617,,,,,
306,Chinstrap,Dream,52.8,20,205,4550,male,2008,3.094801708,,,,,
307,Chinstrap,Dream,40.9,16.6,187,3200,female,2008,1.363892617,,,,,
308,Chinstrap,Dream,54.2,20.8,201,4300,male,2008,3.298438072,,,,,
309,Chinstrap,Dream,42.5,16.7,187,3350,female,2008,1.59661989,,,,,
310,Chinstrap,Dream,51,18.8,203,4100,male,2008,2.832983527,,,,,
311,Chinstrap,Dream,49.7,18.6,195,3600,male,2008,2.643892617,,,,,
312,Chinstrap,Dream,47.5,16.8,199,3900,female,2008,2.323892617,,,,,
313,Chinstrap,Dream,47.6,18.3,195,3850,female,2008,2.338438072,,,,,
314,Chinstrap,Dream,52,20.7,210,4800,male,2008,2.978438072,,,,,
315,Chinstrap,Dream,46.9,16.6,192,2700,female,2008,2.23661989,,,,,
316,Chinstrap,Dream,53.5,19.9,205,4500,male,2008,3.19661989,,,,,
317,Chinstrap,Dream,49,19.5,210,3950,male,2008,2.542074436,,,,,
318,Chinstrap,Dream,46.2,17.5,187,3650,female,2008,2.134801708,,,,,
319,Chinstrap,Dream,50.9,19.1,196,3550,male,2008,2.818438072,,,,,
320,Chinstrap,Dream,45.5,17,196,3500,female,2008,2.032983527,,,,,
321,Chinstrap,Dream,50.9,17.9,196,3675,female,2009,2.818438072,,,,,
322,Chinstrap,Dream,50.8,18.5,201,4450,male,2009,2.803892617,,,,,
323,Chinstrap,Dream,50.1,17.9,190,3400,female,2009,2.702074436,,,,,
324,Chinstrap,Dream,49,19.6,212,4300,male,2009,2.542074436,,,,,
325,Chinstrap,Dream,51.5,18.7,187,3250,male,2009,2.905710799,,,,,
326,Chinstrap,Dream,49.8,17.3,198,3675,female,2009,2.658438072,,,,,
327,Chinstrap,Dream,48.1,16.4,199,3325,female,2009,2.411165345,,,,,
328,Chinstrap,Dream,51.4,19,201,3950,male,2009,2.891165345,,,,,
329,Chinstrap,Dream,45.7,17.3,193,3600,female,2009,2.062074436,,,,,
330,Chinstrap,Dream,50.7,19.7,203,4050,male,2009,2.789347163,,,,,
331,Chinstrap,Dream,42.5,17.3,187,3350,female,2009,1.59661989,,,,,
332,Chinstrap,Dream,52.2,18.8,197,3450,male,2009,3.007528981,,,,,
333,Chinstrap,Dream,45.2,16.6,191,3250,female,2009,1.989347163,,,,,
